v403,v519/102
v551,v199/433
v531,v538/431
v67,v438/165
v463,v412/107
v171,v342/454
v270,v583/453
v17,v241/186
v500,v445/391
v565,v440/445
v545,v49/456
v387,v386/212
v54,v11/173
v383,v129/317
v98,v0/127
v65,v587/101
v110,v69/483
v454,v568/309
v513,v327/424
v395,v49/263
v48,v494/314
v223,v550/225
v22,v299/25
v404,v345/157
v378,v221/51
v250,v119/381
v589,v113/92
v620,v608/330
v324,v412/254
v218,v50/478
v548,v524/268
v133,v11/188
v107,v149/285
v349,v241/300
v258,v368/215
v304,v461/400
v216,v136/277
v496,v352/324
v230,v552/306
v479,v228/417
v389,v264/428
v350,v490/276
v161,v276/370
v348,v423/353
v611,v292/302
v539,v229/437
v236,v313/319
v153,v615/421
v380,v203/57
v151,v80/214
v170,v107/56
v109,v515/109
v623,v315/165
v246,v449/423
v406,v205/8
v5,v229/223
v330,v154/268
v285,v289/389
v206,v560/84
v534,v34/269
v52,v519/445
v255,v313/15
v405,v245/176
v150,v501/284
v401,v379/390
v426,v410/122
v131,v130/80
v607,v43/363
v317,v546/358
v3,v264/358
v331,v487/155
v578,v189/469
v194,v362/60
v597,v461/263
v374,v330/27
v616,v574/150
v559,v150/172
v77,v208/381
v375,v349/27
v147,v539/153
v436,v98/95
v455,v61/115
v204,v586/259
v621,v459/180
v111,v184/397
v91,v500/492
v124,v448/347
v424,v206/45
v57,v425/35
v237,v334/290
v471,v300/125
v94,v133/492
v9,v478/294
v18,v49/389
v512,v529/355
v275,v208/213
v295,v237/459
v298,v252/491
v79,v237/22
v320,v46/402
v213,v224/283
v407,v411/408
v506,v233/261
v238,v205/474
v351,v390/226
v251,v335/200
v291,v282/470
v488,v369/447
v624,v407/233
v363,v323/79
v53,v133/434
v268,v577/4
v606,v183/364
v263,v355/261
v138,v137/215
v433,v183/90
v39,v107/112
v148,v345/195
v447,v573/215
v134,v543/125
v309,v438/260
v239,v74/181
v267,v348/217
v502,v155/54
v247,v1/230
v415,v143/340
v108,v330/475
v457,v106/307
v579,v86/126
v622,v447/216
v385,v225/309
v173,v568/87
v240,v593/420
v381,v482/378
v162,v486/424
v477,v496/198
v122,v385/28
v428,v65/378
v222,v59/493
v92,v571/142
v215,v138/417
v569,v551/363
v249,v496/215
v193,v607/85
v469,v180/23
v62,v145/237
v353,v137/437
v169,v370/172
v56,v88/98
v536,v224/483
v253,v468/147
v273,v509/270
v37,v378/275
v139,v201/397
v281,v118/359
v186,v617/260
v590,v581/426
v284,v535/94
v584,v603/135
v84,v270/391
v8,v333/75
v220,v94/468
v612,v195/327
v475,v336/246
v260,v487/193
v186,v162/257
v579,v559/352
v459,v274/409
v480,v413/230
v15,v539/402
v382,v623/16
v427,v296/290
v63,v423/224
v36,v291/181
v492,v373/58
v158,v78/151
v35,v169/293
v43,v359/314
v359,v107/175
v100,v624/170
v113,v414/211
v472,v473/168
v79,v206/190
v421,v315/474
v68,v12/395
v455,v326/109
v351,v216/182
v141,v550/469
v36,v581/218
v55,v453/191
v81,v477/138
v316,v354/304
v473,v375/28
v559,v7/96
v280,v99/70
v221,v74/65
v388,v622/65
v177,v366/136
v406,v427/57
v90,v524/170
v9,v179/427
v34,v619/399
v224,v545/25
v432,v200/161
v344,v85/408
v477,v237/181
v570,v597/94
v622,v303/395
v310,v383/194
v115,v247/53
v95,v126/435
v599,v12/45
v34,v161/302
v393,v460/356
v90,v231/74
v347,v353/302
v537,v341/385
v487,v546/264
v136,v526/140
v240,v585/378
v273,v95/143
v504,v217/242
v20,v620/256
v556,v555/56
v207,v338/106
v532,v23/57
v318,v369/441
v566,v193/225
v569,v190/303
v5,v602/470
v323,v195/139
v200,v79/58
v247,v7/343
v355,v15/420
v318,v12/449
v137,v67/114
v607,v15/469
v190,v42/468
v53,v407/366
v417,v35/433
v542,v356/20
v604,v498/234
v145,v280/220
v593,v373/5
v22,v190/474
v290,v382/246
v137,v42/94
v55,v356/403
v538,v514/443
v613,v187/392
v539,v312/195
v177,v573/441
v181,v582/473
v553,v225/128
v338,v445/165
v510,v233/344
v193,v346/248
v274,v12/18
v458,v324/7
v24,v266/295
v270,v199/486
v134,v9/149
v7,v580/2
v125,v496/103
v378,v620/143
v457,v49/375
v422,v457/243
v212,v319/22
v486,v16/83
v286,v367/455
v566,v102/197
v502,v577/312
v470,v608/116
v57,v62/216
v176,v298/192
v64,v34/29
v531,v383/70
v352,v434/264
v420,v311/156
v469,v43/56
v187,v218/249
v130,v405/484
v142,v263/252
v507,v355/436
v76,v116/214
v356,v44/281
v460,v251/174
v501,v480/263
v509,v522/163
v211,v415/278
v101,v242/184
v105,v359/209
v410,v597/228
v582,v447/390
v264,v586/438
v16,v221/331
v324,v405/424
v595,v65/371
v325,v197/352
v78,v156/8
v9,v536/232
v497,v305/269
v81,v187/194
v491,v256/175
v12,v87/492
v11,v306/114
v183,v523/123
v564,v13/72
v430,v53/110
v619,v470/332
v135,v404/499
v62,v443/99
v493,v599/40
v298,v329/197
v478,v265/67
v13,v109/419
v172,v622/493
v228,v566/131
v225,v10/359
v481,v377/199
v277,v275/4
v386,v312/178
v47,v8/304
v201,v357/301
v589,v297/231
v309,v506/380
v158,v496/23
v512,v129/267
v112,v102/58
v134,v508/166
v597,v361/108
v310,v490/87
v584,v617/56
v71,v75/59
v623,v68/425
v88,v424/217
v197,v265/287
v242,v487/433
v37,v546/32
v43,v249/80
v242,v213/76
v591,v137/208
v348,v236/118
v117,v259/426
v604,v555/332
v606,v311/431
v89,v166/484
v62,v441/164
v46,v52/267
v329,v352/318
v302,v63/470
v230,v328/236
v218,v331/312
v0,v397/144
v443,v36/336
v420,v529/241
v120,v202/403
v430,v282/318
v586,v381/330
v264,v542/285
v623,v398/133
v168,v615/62
v25,v515/345
v185,v119/57
v450,v453/165
v279,v186/324
v301,v120/492
v529,v458/59
v70,v383/231
v273,v134/115
v558,v205/54
v123,v402/269
v268,v171/259
v40,v68/366
v307,v43/490
v148,v539/400
v305,v347/321
v438,v488/403
v421,v620/279
v43,v14/238
v138,v33/182
v68,v29/477
v486,v315/130
v245,v369/47
v350,v449/320
v32,v67/276
v614,v619/326
v580,v140/369
v84,v396/32
v397,v201/48
v149,v420/384
v245,v486/238
v614,v376/469
v37,v538/190
v501,v63/253
v153,v161/243
v123,v278/127
v130,v485/148
v248,v104/340
v174,v42/451
v318,v272/497
v137,v382/197
v522,v323/198
v92,v401/352
v406,v212/418
v532,v369/483
v333,v166/414
v271,v415/56
v87,v582/306
v615,v434/377
v584,v117/215
v357,v481/445
v16,v65/250
v291,v313/375
v288,v468/460
v590,v309/225
v529,v198/245
v131,v353/399
v564,v346/179
v344,v493/79
v266,v554/389
v46,v237/133
v196,v438/250
v536,v476/233
v485,v116/95
v35,v199/158
v76,v438/364
v69,v317/3
v432,v487/108
v471,v250/331
v316,v101/267
v212,v35/63
v420,v534/373
v395,v436/445
v110,v532/301
v616,v442/287
v92,v261/78
v452,v79/310
v68,v493/227
v346,v616/315
v522,v208/279
v561,v257/407
v256,v151/155
v454,v61/188
v404,v94/14
v496,v488/398
v503,v134/158
v459,v37/156
v602,v177/255
v164,v189/226
v99,v141/473
v342,v494/199
v261,v272/139
v347,v544/134
v56,v145/139
v75,v494/450
v175,v377/254
v577,v377/185
v425,v125/436
v136,v163/352
v211,v356/173
v485,v539/394
v505,v329/187
v393,v158/336
v144,v609/2
v444,v130/402
v183,v336/49
v462,v597/268
v500,v35/49
v582,v216/341
v580,v263/37
v551,v582/36
v18,v531/118
v10,v494/414
v226,v506/103
v147,v39/229
v372,v543/26
v272,v342/182
v451,v130/58
v621,v129/273
v212,v487/444
v418,v89/313
v359,v434/493
v611,v367/125
v375,v253/173
v141,v462/364
v234,v164/71
v101,v337/231
v248,v378/373
v60,v553/242
v354,v50/61
v521,v238/497
v238,v47/391
v222,v284/170
v24,v110/98
v268,v79/391
v358,v477/40
v218,v335/158
v408,v563/396
v257,v238/80
v255,v155/367
v509,v438/34
v424,v613/387
v100,v431/159
v461,v368/71
v62,v520/364
v207,v32/54
v134,v279/241
v340,v315/499
v443,v581/445
v128,v39/119
v377,v363/310
v525,v71/280
v613,v473/32
v450,v286/335
v31,v327/374
v584,v342/213
v137,v339/57
v440,v106/72
v499,v272/89
v581,v24/337
v93,v478/116
v160,v53/302
v411,v555/455
v523,v536/176
v70,v293/13
v454,v127/276
v289,v489/470
v170,v234/223
v151,v163/349
v241,v457/274
v54,v342/175
v63,v386/480
v87,v567/27
v557,v230/115
v361,v78/117
v379,v365/123
v295,v161/399
v268,v138/1
v371,v226/410
v86,v316/256
v414,v600/370
v112,v435/213
v187,v141/81
v532,v161/218
v247,v112/74
v48,v342/67
v319,v117/416
v126,v198/263
v619,v145/334
v248,v534/144
v551,v521/60
v203,v212/313
v570,v415/68
v412,v67/353
v400,v450/289
v321,v289/196
v66,v306/77
v136,v392/387
v384,v578/329
v605,v448/93
v229,v281/48
v347,v152/73
v449,v381/322
v130,v610/45
v308,v245/19
v303,v521/163
v489,v180/176
v451,v293/284
v240,v178/9
v523,v40/297
v463,v418/140
v483,v137/328
v140,v36/474
v383,v263/195
v147,v562/221
v430,v543/231
v126,v4/420
v197,v363/186
v399,v116/465
v139,v235/354
v436,v390/259
v173,v406/198
v394,v30/258
v586,v375/425
v42,v511/438
v152,v337/370
v65,v191/492
v211,v230/418
v597,v467/223
v531,v420/448
v191,v367/39
v273,v523/466
v474,v297/342
v245,v331/228
v425,v514/270
v239,v127/279
v378,v107/95
v398,v547/171
v371,v294/321
v490,v28/147
v304,v137/47
v157,v245/165
v523,v89/475
v375,v258/98
v65,v285/371
v178,v597/450
v269,v223/167
v168,v355/484
v482,v392/367
v34,v393/160
v227,v455/485
v293,v231/436
v443,v265/142
v219,v389/269
v288,v51/335
v517,v513/128
v242,v76/418
v121,v377/195
v316,v595/386
v565,v344/388
v63,v206/271
v465,v482/15
v290,v452/412
v126,v511/133
v396,v386/304
v609,v582/186
v35,v512/383
v506,v517/55
v185,v453/422
v471,v571/432
v601,v573/159
v591,v599/73
v410,v249/236
v85,v424/300
v181,v589/423
v280,v480/10
v440,v614/125
v112,v322/97
v414,v461/428
v330,v458/348
v373,v526/82
v218,v483/174
v229,v309/194
v191,v334/159
v21,v243/254
v411,v422/430
v326,v543/149
v291,v54/197
v360,v181/473
v210,v182/361
v440,v508/296
v427,v448/468
v70,v109/137
v455,v242/464
v579,v552/404
v258,v197/464
v226,v553/391
v200,v139/278
v357,v295/118
v488,v105/81
v374,v375/17
v75,v51/108
v292,v125/117
v331,v498/193
v128,v349/287
v616,v36/406
v217,v480/422
v363,v25/307
v566,v19/442
v614,v572/265
v386,v220/326
v210,v611/261
v98,v483/307
v446,v78/146
v582,v83/104
v364,v108/112
v588,v461/267
v303,v179/290
v501,v198/345
v622,v23/4
v273,v176/227
v498,v248/233
v89,v308/472
v113,v501/9
v273,v410/134
v539,v481/216
v142,v351/366
v37,v624/172
v523,v478/284
v125,v413/362
v516,v16/444
v154,v397/413
v491,v121/286
v402,v14/181
v563,v191/157
v490,v194/334
v187,v532/409
v310,v134/460
v30,v230/467
v385,v166/369
v185,v360/108
v101,v313/416
v321,v503/147
v479,v376/144
v59,v578/320
v536,v56/262
v0,v477/144
v377,v463/160
v156,v242/62
v52,v589/445
v614,v113/35
v436,v75/476
v430,v363/152
v500,v163/69
v17,v555/200
v421,v10/173
v172,v516/271
v199,v519/196
v480,v287/179
v521,v371/178
v68,v291/424
v141,v191/163
v177,v91/226
v388,v68/186
v361,v94/46
v274,v513/319
v231,v494/232
v545,v157/424
v100,v555/199
v250,v505/5
v148,v256/1
v140,v478/153
v452,v283/4
v68,v4/490
v598,v271/444
v204,v347/413
v184,v606/17
v465,v7/386
v88,v60/245
v172,v146/39
v417,v424/304
v354,v571/225
v382,v302/226
v556,v255/363
v605,v366/193
v398,v521/183
v19,v398/120
v608,v272/23
v596,v189/200
v182,v170/233
v395,v303/413
v81,v406/109
v46,v248/275
v341,v209/121
v276,v403/261
v176,v47/276
v55,v43/426
v507,v305/209
v13,v303/371
v536,v64/314
v556,v226/325
v549,v545/74
v187,v116/280
v88,v68/172
v358,v396/480
v33,v326/226
v288,v227/321
v488,v99/287
v504,v34/329
v406,v277/450
v331,v537/283
v368,v154/462
v79,v346/467
v434,v315/371
v74,v307/54
v334,v42/386
v506,v521/28
v137,v20/472
v274,v42/255
v431,v400/418
v503,v333/216
v521,v116/174
v484,v542/185
v400,v136/334
v437,v188/475
v339,v567/37
v583,v354/207
v128,v620/206
v119,v183/261
v601,v536/48
v624,v157/98
v520,v143/68
v203,v301/64
v232,v304/79
v89,v294/394
v186,v448/471
v145,v117/169
v621,v451/444
v427,v531/103
v182,v255/484
v463,v119/497
v20,v384/3
v222,v315/201
v320,v461/405
v197,v613/405
v206,v235/221
v258,v19/387
v461,v211/485
v462,v335/484
v114,v597/1
v326,v573/395
v325,v35/218
v512,v606/88
v516,v455/385
v268,v51/465
v110,v39/102
v426,v517/33
v208,v613/65
v193,v586/228
v385,v606/3
v474,v150/223
v181,v536/445
v117,v407/285
v368,v615/52
v103,v65/378
v278,v223/126
v157,v572/488
v300,v557/37
v473,v74/91
v265,v109/468
v47,v366/379
v614,v84/283
v244,v208/290
v534,v321/290
v508,v402/278
v562,v347/405
v5,v574/269
v360,v106/441
v622,v360/201
v339,v422/182
v298,v569/368
v327,v282/485
v521,v243/89
v454,v493/433
v258,v450/61
v192,v576/395
v467,v428/339
v471,v274/437
v389,v380/178
v549,v309/258
v137,v567/428
v392,v312/47
v593,v4/178
v265,v287/34
v46,v532/12
v452,v192/485
v595,v7/412
v116,v387/497
v341,v386/86
v210,v70/466
v305,v400/140
v289,v575/267
v256,v602/140
v179,v158/187
v281,v593/29
v387,v594/485
v48,v179/376
v622,v92/292
v180,v548/386
v125,v419/314
v306,v118/283
v471,v535/208
v328,v298/172
v31,v10/95
v514,v119/390
v406,v560/194
v35,v611/456
v503,v187/420
v587,v620/444
v182,v425/353
v538,v110/100
v324,v223/354
v222,v354/391
v585,v110/166
v243,v45/292
v393,v212/310
v313,v472/126
v15,v381/363
v510,v381/76
v152,v382/245
v400,v330/457
v394,v588/141
v354,v514/82
v539,v509/175
v327,v533/222
v543,v515/222
v551,v36/412
v569,v42/119
v87,v562/44
v529,v306/226
v6,v102/41
v563,v528/87
v451,v96/432
v379,v606/136
v280,v140/183
v185,v35/368
v61,v365/121
v140,v200/323
v78,v5/451
v519,v285/379
v197,v335/86
v552,v353/272
v166,v77/286
v440,v484/284
v172,v573/171
v217,v250/269
v255,v351/78
v326,v212/249
v228,v287/374
v98,v298/171
v234,v21/220
v434,v47/373
v252,v371/144
v6,v362/159
v306,v542/85
v208,v432/292
v153,v244/297
v387,v319/80
v264,v361/20
v336,v302/210
v1,v120/262
v312,v488/372
v218,v544/424
v526,v83/315
v265,v390/379
v166,v161/225
v290,v108/436
v36,v532/215
v71,v573/25
v371,v375/2
v16,v608/66
v207,v101/276
v485,v356/247
v503,v184/364
v35,v457/236
v361,v564/187
v25,v50/336
v447,v49/388
v51,v585/139
v510,v165/150
v254,v363/14
v467,v20/344
v335,v94/401
v453,v234/415
v29,v197/189
v194,v426/34
v117,v395/493
v436,v252/179
v430,v327/6
v573,v159/368
v353,v72/451
v528,v384/101
v49,v576/56
v206,v32/454
v516,v331/112
v330,v595/156
v212,v587/411
v513,v415/157
v37,v140/390
v281,v137/495
v162,v244/173
v588,v312/386
v28,v571/47
v137,v384/292
v538,v420/163
v35,v41/273
v492,v413/66
v373,v617/272
v414,v353/301
v236,v218/47
v87,v329/406
v66,v427/353
v143,v283/89
v74,v164/436
v336,v338/395
v559,v286/445
v600,v29/470
v296,v143/167
v151,v187/26
v311,v286/57
v338,v426/404
v422,v146/396
v401,v536/98
v420,v291/213
v363,v517/246
v134,v593/433
v456,v589/263
v36,v465/268
v62,v20/242
v444,v114/434
v46,v507/268
v599,v309/281
v520,v595/159
v495,v542/471
v98,v254/470
v349,v197/374
v102,v266/410
v450,v365/369
v99,v126/427
v419,v375/240
v284,v40/261
v39,v551/418
v47,v573/353
v53,v134/95
v174,v571/97
v8,v18/176
v288,v97/314
v446,v272/306
v166,v395/192
v207,v478/193
v6,v192/267
v139,v519/198
v451,v282/286
v167,v433/444
v607,v557/91
v17,v163/121
v189,v509/232
v344,v303/453
v354,v264/398
v116,v254/328
v482,v194/337
v369,v174/440
v597,v98/364
v585,v323/256
v126,v453/33
v18,v188/75
v240,v319/288
v524,v501/409
v97,v339/55
v413,v256/44
v272,v423/209
v61,v433/99
v576,v127/472
v424,v39/208
v235,v201/88
v595,v511/388
v621,v291/251
v112,v183/125
v537,v576/183
v125,v561/381
v7,v128/352
v87,v488/157
v74,v488/308
v511,v624/331
v24,v431/370
v72,v44/398
v423,v352/172
v120,v39/489
v165,v240/190
v404,v425/148
v130,v573/13
v437,v439/266
v20,v331/387
v101,v321/496
v482,v264/66
v309,v267/301
v120,v394/465
v486,v254/350
v580,v486/199
v1,v527/112
v126,v1/198
v402,v199/98
v217,v362/156
v335,v3/43
v20,v225/194
v80,v182/32
v277,v232/320
v326,v247/213
v464,v87/418
v463,v459/73
v218,v528/8
v70,v278/259
v100,v417/50
v623,v186/114
v111,v49/235
v218,v579/105
v188,v337/191
v338,v202/165
v361,v622/349
v242,v107/273
v328,v487/357
v264,v300/422
v564,v291/488
v15,v599/279
v429,v164/186
v506,v102/365
v121,v264/52
v470,v153/376
v64,v555/3
v104,v334/196
v560,v177/86
v577,v159/181
v248,v88/425
v128,v331/337
v235,v224/278
v498,v519/233
v568,v230/411
v218,v244/199
v23,v423/364
v418,v516/8
v244,v0/318
v95,v48/401
v412,v321/151
v312,v25/322
v405,v535/207
v553,v580/10
v395,v521/320
v138,v459/80
v623,v525/366
v542,v560/203
v320,v610/246
v14,v537/388
v288,v378/464
v307,v606/376
v479,v496/239
v418,v366/241
v314,v230/143
v296,v558/299
v233,v165/496
v260,v4/263
v190,v598/93
v501,v222/467
v462,v350/332
v179,v164/321
v475,v297/206
v227,v146/429
v92,v392/15
v455,v382/82
v548,v64/10
v199,v56/437
v158,v458/188
v421,v91/363
v107,v10/441
v45,v355/147
v304,v528/405
v53,v382/180
v497,v462/14
v187,v417/372
v338,v279/126
v618,v616/171
v293,v591/449
v582,v442/189
v440,v258/21
v563,v343/260
v489,v546/131
v258,v180/489
v500,v507/198
v72,v168/376
v64,v488/153
v528,v451/35
v290,v194/6
v22,v122/43
v155,v25/475
v292,v155/37
v28,v98/86
v209,v222/94
v241,v329/74
v532,v366/238
v379,v47/398
v133,v421/372
v381,v546/225
v233,v103/233
v153,v444/109
v455,v369/345
v116,v344/305
v384,v33/354
v191,v493/434
v274,v580/75
v607,v551/355
v409,v47/226
v406,v75/19
v608,v537/328
v65,v116/434
v467,v341/242
v340,v193/87
v486,v483/403
v368,v49/411
v497,v4/381
v171,v376/320
v387,v521/396
v531,v498/437
v535,v119/230
v557,v472/159
v213,v316/48
v271,v107/32
v334,v479/37
v447,v448/349
v87,v424/31
v271,v525/497
v26,v328/371
v352,v567/147
v415,v60/396
v445,v532/151
v483,v94/11
v145,v10/85
v387,v377/467
v171,v16/195
v407,v503/468
v52,v563/306
v431,v454/410
v9,v172/343
v518,v359/98
v177,v532/329
v557,v106/288
v73,v187/15
v578,v112/433
v95,v437/21
v375,v566/37
v275,v174/254
v493,v467/390
v586,v315/211
v269,v101/341
v135,v90/288
v577,v574/393
v372,v40/291
v92,v458/165
v404,v490/418
v496,v97/458
v600,v404/465
v565,v203/282
v327,v480/303
v133,v298/205
v541,v623/202
v294,v246/315
v376,v509/360
v321,v4/255
v471,v348/55
v581,v57/463
v494,v70/179
v253,v277/14
v280,v125/499
v144,v251/209
v432,v188/439
v59,v620/80
v379,v420/477
v555,v148/6
v486,v436/498
v398,v162/94
v324,v314/39
v52,v517/13
v289,v388/328
v216,v212/182
v228,v122/149
v611,v237/104
v9,v243/341
v618,v72/426
v508,v37/271
v71,v149/45
v480,v144/120
v537,v32/210
v446,v328/264
v604,v294/154
v419,v107/385
v605,v55/337
v533,v469/251
v582,v410/81
v604,v348/198
v235,v127/205
v607,v405/473
v134,v556/363
v558,v233/17
v267,v313/149
v532,v127/444
v529,v30/10
v471,v432/18
v326,v157/35
v531,v189/350
v35,v163/155
v143,v57/145
v596,v218/129
v176,v14/498
v16,v29/219
v333,v508/485
v283,v499/166
v255,v85/410
v614,v21/221
v404,v18/485
v101,v44/436
v521,v61/183
